NO_OF_FRAMES	1920
NO_OF_CAMERAS	8
NO_OF_MARKERS	3
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2012-02-20, 16:34:23	479140.61788143
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002
Frame	Time	New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	
124	0.51667	789.675	979.743	1490.182	706.939	807.082	1216.381	860.060	616.803	1167.055
125	0.52083	789.788	979.830	1490.268	707.304	806.642	1217.352	861.294	616.976	1171.788
126	0.52500	789.859	979.907	1490.331	707.342	806.392	1218.447	863.053	617.255	1174.134
127	0.52917	789.846	980.050	1490.512	706.852	806.509	1219.983	863.025	616.588	1176.485
128	0.53333	789.864	980.034	1490.601	707.240	805.860	1220.553	864.569	616.917	1182.118
129	0.53750	790.216	979.822	1491.009	706.153	804.966	1221.265	866.015	617.102	1184.442
130	0.54167	790.320	979.874	1491.038	706.441	804.818	1221.896	865.775	616.811	1186.703
131	0.54583	790.311	979.884	1491.142	706.687	804.509	1223.145	866.912	616.928	1192.342
132	0.55000	790.563	979.854	1491.285	706.639	804.269	1223.581	868.797	617.647	1194.867
133	0.55417	790.420	979.887	1491.437	707.337	804.719	1224.016	869.663	617.704	1196.487
134	0.55833	790.506	979.952	1491.489	707.269	804.341	1224.379	869.803	617.868	1201.826
135	0.56250	790.634	979.958	1491.545	707.378	804.142	1224.567	871.633	618.913	1205.386
136	0.56667	790.643	979.977	1491.608	707.387	803.907	1224.595	872.259	619.237	1206.797
137	0.57083	790.729	979.970	1491.690	707.513	803.567	1224.746	872.226	618.949	1211.177
138	0.57500	790.834	979.899	1491.744	707.558	803.301	1224.913	874.321	620.002	1214.150
139	0.57917	790.829	979.879	1491.858	707.495	803.108	1225.039	874.090	621.152	1217.064
140	0.58333	790.895	979.851	1491.867	707.625	802.787	1225.167	875.837	621.378	1220.082
141	0.58750	790.952	979.885	1491.921	707.615	802.567	1225.281	876.363	621.919	1224.118
142	0.59167	790.958	979.763	1491.908	707.707	802.405	1225.372	879.057	620.702	1225.479
143	0.59583	791.120	979.784	1492.027	707.731	802.100	1225.305	879.103	624.187	1230.599
144	0.60000	791.166	979.762	1491.916	707.685	801.887	1225.378	880.195	622.053	1233.698
145	0.60417	791.175	979.639	1492.047	707.707	801.711	1225.436	881.695	623.233	1234.839
146	0.60833	791.294	979.604	1491.965	707.931	801.690	1225.679	883.253	625.192	1238.038
147	0.61250	791.388	979.598	1492.050	707.988	801.459	1225.712	881.997	624.948	1243.231
148	0.61667	791.545	979.535	1492.176	707.896	801.214	1225.542	883.549	626.145	1244.323
149	0.62083	791.441	979.460	1492.123	708.130	801.177	1225.794	884.333	627.563	1245.713
150	0.62500	791.652	979.445	1492.092	708.269	801.028	1225.828	884.213	628.186	1252.671
151	0.62917	791.861	979.364	1492.173	708.230	800.863	1226.055	884.421	628.679	1252.375
152	0.63333	791.728	979.311	1492.134	708.360	800.846	1225.983	885.230	630.661	1255.141
153	0.63750	791.810	979.292	1492.112	708.387	800.750	1226.126	885.649	631.702	1258.384
154	0.64167	791.956	979.193	1492.163	708.436	800.788	1226.172	886.685	632.835	1262.365
155	0.64583	792.023	979.096	1492.227	708.484	800.519	1226.342	886.810	634.536	1263.958
156	0.65000	792.084	979.123	1492.236	708.690	800.538	1226.252	888.620	635.739	1267.588
157	0.65417	792.120	979.003	1492.328	708.883	800.559	1226.253	888.343	637.227	1270.501
158	0.65833	792.161	979.001	1492.299	708.862	800.575	1226.455	888.894	639.384	1273.540
159	0.66250	792.337	978.900	1492.471	709.012	800.521	1226.404	889.805	639.922	1274.727
160	0.66667	792.236	978.873	1492.356	709.132	800.532	1226.378	890.356	641.453	1278.263
161	0.67083	792.411	978.828	1492.550	709.334	800.526	1226.423	888.674	642.215	1280.358
162	0.67500	792.331	978.808	1492.451	709.402	800.468	1226.366	890.196	644.476	1282.541
163	0.67917	792.371	978.743	1492.634	709.460	800.533	1226.419	889.702	644.587	1284.259
164	0.68333	792.558	978.715	1492.593	709.596	800.478	1226.454	891.471	646.968	1287.810
165	0.68750	792.470	978.683	1492.651	709.669	800.494	1226.458	890.172	648.167	1290.164
166	0.69167	792.435	978.652	1492.647	709.902	800.601	1226.494	890.432	649.309	1291.100
167	0.69583	792.524	978.601	1492.715	710.166	800.669	1226.457	891.533	651.004	1294.546
168	0.70000	792.730	978.543	1492.724	710.102	800.637	1226.449	891.354	652.655	1296.508
169	0.70417	792.590	978.489	1492.695	710.139	800.613	1226.526	891.852	654.758	1299.057
170	0.70833	792.606	978.492	1492.706	710.395	800.584	1227.065	891.117	654.898	1300.360
171	0.71250	792.714	978.470	1492.717	710.239	800.670	1226.502	890.302	656.671	1302.841
172	0.71667	792.685	978.445	1492.687	710.518	800.570	1226.550	892.870	659.439	1305.686
173	0.72083	792.707	978.363	1492.621	710.506	800.685	1227.126	893.227	661.436	1308.048
174	0.72500	792.753	978.305	1492.780	710.694	800.734	1227.104	891.455	662.182	1309.578
175	0.72917	792.710	978.293	1492.836	710.800	800.354	1226.828	890.992	663.638	1311.683
176	0.73333	792.753	978.334	1492.897	710.837	800.663	1227.137	891.094	665.596	1313.501
177	0.73750	792.715	978.234	1492.914	710.887	800.551	1227.323	892.004	667.697	1315.194
178	0.74167	792.693	978.335	1492.905	710.886	800.630	1227.314	892.359	669.666	1317.028
179	0.74583	792.643	978.318	1492.970	710.801	800.641	1227.469	891.289	670.449	1319.741
180	0.75000	792.806	978.269	1493.089	710.896	800.603	1227.467	890.332	672.041	1320.964
181	0.75417	792.669	978.324	1493.120	710.771	800.587	1227.507	892.005	674.589	1323.120
182	0.75833	792.734	978.362	1493.264	710.866	800.669	1227.613	892.835	676.745	1324.609
183	0.76250	792.659	978.422	1493.340	710.951	800.654	1227.673	893.581	678.754	1326.341
184	0.76667	792.600	978.359	1493.502	710.810	800.629	1227.688	893.608	680.284	1329.809
185	0.77083	792.644	978.475	1493.576	710.868	800.673	1227.810	893.498	681.888	1331.168
186	0.77500	792.607	978.509	1493.635	710.270	800.276	1227.200	893.404	683.805	1332.048
187	0.77917	792.547	978.587	1493.617	710.290	800.269	1227.375	893.959	685.693	1333.410
188	0.78333	792.566	978.656	1493.668	710.275	800.246	1227.325	893.578	687.523	1335.613
189	0.78750	792.454	978.830	1493.677	710.315	800.360	1227.480	893.335	689.180	1337.258
190	0.79167	792.406	978.767	1493.837	710.262	800.379	1227.692	892.490	690.370	1339.004
191	0.79583	792.375	978.912	1493.889	710.940	800.710	1228.592	892.698	692.298	1339.956
192	0.80000	792.411	979.012	1493.937	711.298	800.817	1229.040	892.749	694.203	1342.410
193	0.80417	792.346	979.048	1494.122	711.161	800.990	1229.503	893.335	696.171	1343.780
194	0.80833	792.309	979.141	1494.176	710.941	801.118	1229.959	893.114	697.623	1345.169
195	0.81250	792.175	979.283	1494.112	710.869	800.917	1230.100	892.825	699.172	1347.073
196	0.81667	792.135	979.371	1494.267	711.053	800.715	1230.828	891.831	700.931	1348.911
197	0.82083	792.095	979.404	1494.301	710.979	800.643	1231.118	891.537	702.598	1349.987
198	0.82500	791.933	979.686	1494.377	710.826	800.599	1231.512	891.435	704.454	1351.118
199	0.82917	791.775	979.822	1494.451	710.499	800.730	1231.974	891.620	706.084	1352.274
200	0.83333	791.708	979.916	1494.535	710.677	800.602	1232.054	891.282	707.657	1354.490
201	0.83750	791.516	980.219	1494.561	710.542	800.635	1232.564	890.898	709.368	1356.548
202	0.84167	791.586	980.229	1494.660	710.358	800.626	1232.901	890.344	710.969	1357.344
203	0.84583	791.195	980.515	1494.608	710.404	800.470	1233.241	889.531	712.350	1358.071
204	0.85000	791.083	980.594	1494.626	710.290	800.546	1233.593	889.700	714.139	1358.959
205	0.85417	790.989	980.821	1494.746	710.142	800.378	1233.710	889.484	715.879	1361.408
206	0.85833	790.939	980.937	1494.884	710.158	800.273	1234.149	890.397	717.544	1363.084
207	0.86250	790.839	981.012	1494.899	710.176	800.268	1234.284	889.517	718.856	1364.632
208	0.86667	790.726	981.129	1494.882	710.195	800.260	1234.639	888.773	720.114	1365.735
209	0.87083	790.509	981.501	1495.141	710.267	800.226	1234.743	888.340	721.843	1366.814
210	0.87500	790.618	981.592	1495.182	707.550	798.287	1235.321	887.909	723.453	1367.761
211	0.87917	790.399	981.773	1495.299	707.489	798.379	1235.330	887.552	725.140	1368.361
212	0.88333	790.346	981.979	1495.262	707.483	798.244	1235.395	887.485	726.690	1369.328
213	0.88750	790.225	982.087	1495.354	707.623	798.419	1235.365	887.525	728.093	1371.085
214	0.89167	790.208	982.278	1495.560	707.599	798.357	1235.488	887.290	729.656	1372.862
215	0.89583	789.987	982.418	1495.523	707.525	798.405	1235.532	886.640	731.152	1375.063
216	0.90000	789.838	982.568	1495.568	707.521	798.333	1235.542	886.143	732.574	1375.547
217	0.90417	790.217	982.830	1495.992	707.602	798.338	1235.589	885.569	733.981	1376.007
218	0.90833	790.185	982.971	1496.094	707.582	798.359	1235.649	884.942	735.460	1376.414
219	0.91250	789.842	983.088	1496.216	707.517	798.350	1235.699	884.398	736.744	1376.753
220	0.91667	789.797	983.260	1496.235	707.527	798.277	1235.791	884.357	738.583	1378.567
221	0.92083	789.798	983.471	1496.272	707.086	797.890	1235.839	884.313	739.965	1380.007
222	0.92500	789.526	983.638	1496.237	706.976	798.132	1236.189	884.086	741.501	1381.681
223	0.92917	789.378	983.741	1496.438	706.846	798.330	1236.580	883.824	742.624	1382.893
224	0.93333	789.311	983.973	1496.493	706.710	798.431	1236.871	883.542	743.848	1383.368
225	0.93750	789.127	984.085	1496.452	706.635	798.487	1237.164	882.933	745.260	1383.881
226	0.94167	789.197	984.272	1496.595	706.337	798.633	1237.310	882.565	746.869	1384.556
227	0.94583	789.161	984.550	1496.741	706.094	798.774	1237.673	881.887	748.111	1385.505
228	0.95000	789.012	984.737	1496.781	706.019	798.871	1237.879	881.599	749.332	1385.949
229	0.95417	788.920	984.989	1496.776	705.810	798.994	1238.048	880.866	750.419	1386.163
230	0.95833	788.813	985.160	1496.788	705.017	798.822	1237.779	880.452	751.510	1386.591
231	0.96250	788.777	985.315	1496.871	704.753	798.835	1237.921	879.727	752.606	1387.603
232	0.96667	788.710	985.450	1496.893	704.569	798.951	1238.027	879.023	753.528	1388.644
233	0.97083	788.536	985.648	1496.856	704.208	799.247	1238.274	878.623	754.432	1389.664
234	0.97500	788.439	985.775	1496.969	703.945	799.291	1238.466	877.924	755.494	1391.029
235	0.97917	788.327	985.942	1497.011	703.639	799.427	1238.500	878.108	756.735	1391.811
236	0.98333	788.256	986.105	1497.122	703.479	799.566	1238.773	877.645	757.708	1392.094
237	0.98750	788.148	986.278	1497.128	703.076	799.656	1239.019	877.301	758.480	1392.472
238	0.99167	787.958	986.350	1497.051	702.702	799.874	1239.274	876.966	759.273	1392.835
239	0.99583	787.865	986.543	1497.176	702.542	800.016	1239.437	876.373	760.142	1393.175
240	1.00000	787.778	986.701	1497.208	702.052	799.995	1239.879	876.058	760.878	1393.333
241	1.00417	787.679	986.869	1497.220	702.104	800.412	1240.457	875.660	761.633	1393.513
242	1.00833	787.487	986.956	1497.224	701.925	800.228	1239.862	875.263	762.285	1393.651
243	1.01250	789.133	987.335	1497.801	701.766	800.419	1239.869	874.843	763.004	1393.851
244	1.01667	787.051	987.433	1497.269	702.194	801.041	1240.278	874.425	763.891	1394.390
245	1.02083	787.004	987.499	1497.260	701.912	800.951	1240.332	874.131	764.223	1394.867
246	1.02500	786.729	987.818	1497.279	701.719	800.988	1240.388	873.626	764.670	1395.441
247	1.02917	786.497	988.019	1497.250	701.507	800.901	1240.554	873.504	765.138	1396.065
248	1.03333	786.356	988.268	1497.207	701.332	801.313	1240.347	873.129	765.475	1396.419
249	1.03750	786.282	988.325	1497.187	701.041	801.002	1240.600	872.538	765.778	1396.522
250	1.04167	786.126	988.560	1497.208	700.432	800.980	1240.656	872.135	765.988	1396.772
251	1.04583	785.895	988.767	1497.183	699.948	800.852	1241.129	871.671	766.073	1397.164
252	1.05000	785.767	988.935	1497.233	699.522	800.932	1241.444	871.500	766.188	1397.610
253	1.05417	785.720	989.072	1497.158	699.357	801.043	1241.462	871.128	766.071	1397.796
254	1.05833	785.542	989.239	1497.162	699.048	801.138	1241.611	870.895	765.951	1397.973
255	1.06250	785.446	989.386	1497.175	698.771	801.391	1241.894	870.478	765.741	1397.662
256	1.06667	785.239	989.533	1497.168	698.359	801.510	1241.871	870.205	765.462	1397.700
257	1.07083	785.086	989.663	1497.204	697.975	801.757	1242.107	869.889	764.997	1397.594
258	1.07500	785.034	989.808	1497.178	697.678	801.916	1242.290	869.632	764.445	1397.501
259	1.07917	784.822	989.960	1497.180	697.279	802.208	1242.447	869.513	763.946	1397.476
260	1.08333	784.860	990.152	1497.287	696.808	802.471	1242.509	869.335	763.255	1397.636
261	1.08750	784.577	990.328	1497.305	696.561	802.599	1242.669	869.233	762.777	1397.514
262	1.09167	784.493	990.517	1497.304	696.182	802.735	1242.785	869.162	762.098	1397.156
