NO_OF_FRAMES	519
NO_OF_CAMERAS	8
NO_OF_MARKERS	19
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2012-03-21, 16:32:58	451699.34750673
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002	New 0003	New 0004	New 0005	New 0006	New 0007	New 0008	New 0009	New 0010	New 0011	New 0012	New 0013	New 0014	New 0015	New 0016	New 0017	New 0018
Frame	Time	New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	New 0003 X	New 0003 Y	New 0003 Z	New 0004 X	New 0004 Y	New 0004 Z	New 0005 X	New 0005 Y	New 0005 Z	New 0006 X	New 0006 Y	New 0006 Z	New 0007 X	New 0007 Y	New 0007 Z	New 0008 X	New 0008 Y	New 0008 Z	New 0009 X	New 0009 Y	New 0009 Z	New 0010 X	New 0010 Y	New 0010 Z	New 0011 X	New 0011 Y	New 0011 Z	New 0012 X	New 0012 Y	New 0012 Z	New 0013 X	New 0013 Y	New 0013 Z	New 0014 X	New 0014 Y	New 0014 Z	New 0015 X	New 0015 Y	New 0015 Z	New 0016 X	New 0016 Y	New 0016 Z	New 0017 X	New 0017 Y	New 0017 Z	New 0018 X	New 0018 Y	New 0018 Z	
684	2.85000	467.016	-17.302	-1878.747	435.045	39.956	-1979.501	481.136	440.945	-1883.591	559.023	1376.012	-1872.249	635.237	1036.678	-1904.876	477.684	1615.590	-1847.548	372.354	1411.109	-1947.899	360.747	929.738	-2011.684	87.819	818.025	-1948.510	100.602	1055.944	-1988.758	183.958	1369.617	-1885.421	614.415	831.281	-1785.321	377.755	1196.699	-1997.820	185.321	828.357	-1890.626	529.129	832.973	-1919.530	289.078	1642.002	-1834.358	204.588	470.757	-1724.691	276.150	120.317	-1922.790	247.812	20.062	-1858.048
685	2.85417	466.908	-17.390	-1878.833	434.677	40.187	-1979.509	481.212	441.026	-1882.815	558.758	1376.383	-1866.274	635.141	1037.042	-1897.552	477.447	1615.886	-1842.002	372.290	1411.109	-1941.859	360.282	929.888	-2005.843	88.033	818.376	-1943.499	100.717	1055.799	-1983.276	183.841	1369.559	-1879.400	613.505	833.877	-1775.061	377.856	1195.569	-1991.989	185.604	829.347	-1883.937	529.957	833.260	-1914.661	288.902	1641.624	-1828.575	204.861	471.804	-1716.573	275.583	112.289	-1905.927	246.488	14.709	-1838.978
686	2.85833	466.717	-17.092	-1878.889	435.611	41.137	-1979.462	481.014	440.993	-1881.769	558.772	1376.812	-1860.173	635.590	1036.816	-1890.640	476.846	1616.356	-1836.276	371.856	1411.228	-1935.929	360.170	929.940	-2000.234	88.012	818.393	-1938.174	100.904	1055.885	-1977.810	183.675	1369.174	-1873.233	612.344	835.810	-1765.068	378.320	1196.123	-1986.304	185.564	828.948	-1878.116	530.188	832.784	-1909.794	288.563	1641.464	-1822.739	206.366	473.033	-1708.297	277.288	105.503	-1890.246	245.828	13.961	-1819.474
687	2.86250	466.418	-16.801	-1879.044	434.521	40.929	-1979.481	481.084	441.088	-1880.586	558.080	1376.885	-1854.158	635.454	1036.559	-1883.456	476.658	1616.184	-1830.853	372.099	1411.436	-1930.330	360.313	929.958	-1994.587	88.259	817.501	-1933.276	100.897	1055.810	-1972.071	183.497	1368.712	-1867.147	610.054	837.046	-1754.331	378.160	1196.640	-1980.214	185.989	828.623	-1872.440	530.306	832.313	-1904.779	288.259	1641.383	-1817.006	206.478	473.429	-1700.862	275.372	108.809	-1869.715	245.418	12.921	-1799.838
688	2.86667	466.011	-16.794	-1879.160	434.025	40.862	-1979.487	480.987	441.151	-1879.233	558.042	1376.718	-1848.073	635.442	1036.399	-1876.369	476.546	1616.230	-1825.304	371.910	1411.014	-1924.585	360.526	929.980	-1988.690	88.625	816.392	-1928.148	100.977	1055.324	-1967.238	182.906	1368.289	-1861.215	608.771	839.050	-1744.124	378.281	1196.970	-1974.513	186.004	829.303	-1867.249	530.580	831.848	-1899.970	288.131	1641.346	-1811.221	208.162	473.649	-1692.694	275.065	99.765	-1854.338	244.838	6.692	-1780.371
689	2.87083	467.651	-15.366	-1878.981	433.907	41.229	-1979.302	480.679	441.058	-1878.046	557.733	1376.774	-1842.171	635.423	1036.473	-1869.128	476.207	1616.050	-1819.650	371.614	1410.556	-1918.631	360.763	929.610	-1982.980	89.016	815.354	-1922.813	101.266	1054.446	-1961.299	182.855	1367.658	-1855.132	607.236	839.809	-1734.093	378.324	1196.357	-1968.559	187.611	828.829	-1856.346	530.852	831.532	-1894.878	287.663	1641.207	-1805.227	209.955	473.743	-1684.580	276.916	93.843	-1838.362	244.416	7.945	-1760.493
690	2.87500	467.406	-15.070	-1879.130	433.728	41.623	-1979.174	480.642	441.503	-1876.468	557.609	1376.638	-1836.118	635.526	1035.745	-1862.656	475.895	1615.825	-1814.038	371.527	1410.023	-1912.780	360.890	929.272	-1977.147	89.142	815.182	-1917.426	101.081	1054.390	-1955.770	182.737	1366.964	-1849.165	606.155	842.392	-1724.041	378.266	1195.263	-1962.585	186.971	828.306	-1850.143	530.829	831.481	-1889.835	287.238	1641.096	-1799.345	209.986	473.934	-1677.485	274.951	96.063	-1817.731	242.256	3.488	-1741.607
691	2.87917	467.118	-14.945	-1878.995	433.148	41.891	-1978.901	480.403	440.869	-1875.054	557.572	1376.293	-1830.428	635.543	1035.205	-1855.753	475.345	1615.300	-1808.235	371.243	1409.273	-1906.864	360.642	928.881	-1971.085	89.064	814.938	-1912.073	100.745	1053.645	-1949.284	182.781	1366.321	-1843.221	604.682	844.933	-1713.784	378.294	1194.177	-1956.861	187.341	827.485	-1844.670	530.928	831.107	-1884.460	285.895	1640.474	-1793.925	211.224	474.703	-1670.005	274.103	88.724	-1800.915	242.999	5.528	-1720.492
692	2.88333	466.786	-14.884	-1879.071	432.784	42.146	-1978.815	480.007	440.566	-1873.434	557.392	1376.050	-1824.233	635.565	1034.859	-1848.747	475.068	1614.900	-1802.831	370.956	1408.661	-1900.944	360.455	928.148	-1965.363	89.018	814.760	-1906.875	101.177	1052.998	-1944.352	182.308	1365.645	-1837.060	603.359	845.688	-1704.063	378.247	1193.642	-1950.901	187.930	827.810	-1838.651	531.621	830.702	-1879.697	285.870	1640.078	-1787.868	212.750	474.498	-1663.037	276.851	83.533	-1786.277	242.359	3.806	-1700.372
693	2.88750	466.466	-14.652	-1879.073	433.024	42.598	-1978.215	479.554	440.296	-1871.712	557.280	1375.610	-1818.404	635.846	1034.172	-1841.578	474.692	1614.627	-1797.030	370.742	1408.058	-1895.089	360.786	927.290	-1959.726	89.280	813.857	-1901.721	101.149	1052.742	-1938.684	182.135	1364.716	-1831.085	602.047	847.548	-1694.248	377.983	1193.317	-1944.919	187.847	827.234	-1832.837	531.780	829.986	-1874.710	286.310	1639.091	-1781.526	212.957	474.525	-1656.258	275.534	77.387	-1767.762	241.219	1.936	-1680.831
694	2.89167	466.280	-14.442	-1879.134	432.063	43.505	-1977.855	479.970	440.191	-1869.922	556.871	1374.930	-1812.394	635.716	1033.533	-1834.795	474.295	1613.795	-1791.261	370.444	1407.387	-1889.055	360.802	926.682	-1953.813	89.427	812.981	-1896.509	100.851	1051.635	-1935.811	181.603	1363.933	-1824.979	600.947	849.644	-1684.104	377.881	1192.900	-1939.046	188.165	826.151	-1827.007	532.146	829.401	-1869.576	286.538	1637.993	-1775.330	212.613	474.762	-1649.839	274.531	79.108	-1748.781	240.465	3.536	-1661.456
695	2.89583	465.770	-14.756	-1879.260	431.129	44.448	-1977.855	479.357	440.272	-1867.927	556.707	1374.050	-1806.632	635.394	1032.779	-1827.965	473.954	1613.262	-1785.582	370.113	1406.637	-1883.222	360.870	926.136	-1948.039	89.979	812.191	-1891.021	100.918	1050.834	-1930.054	181.529	1363.103	-1818.931	599.481	850.832	-1674.903	377.735	1192.240	-1933.325	188.555	825.641	-1820.960	532.256	829.131	-1864.592	286.251	1636.975	-1769.592	214.787	473.702	-1642.857	275.725	73.373	-1733.090	238.925	1.649	-1640.870
696	2.90000	463.677	-15.737	-1879.527	430.411	45.297	-1977.720	479.181	440.091	-1866.026	556.454	1373.208	-1800.552	635.313	1032.211	-1820.934	473.519	1612.518	-1779.931	369.942	1405.975	-1877.399	361.032	925.363	-1942.054	90.295	810.687	-1885.513	100.906	1049.872	-1924.316	181.257	1362.166	-1812.868	598.194	853.429	-1665.242	377.649	1191.078	-1927.381	188.564	824.239	-1814.982	532.167	828.669	-1859.569	285.973	1636.083	-1763.554	216.230	472.814	-1636.224	274.447	67.382	-1714.693	238.139	2.435	-1620.693
697	2.90417	463.430	-15.672	-1879.589	429.978	46.303	-1977.104	479.210	439.752	-1863.603	556.311	1372.547	-1794.899	635.312	1031.793	-1814.201	473.038	1611.643	-1774.088	369.622	1405.209	-1871.307	361.073	924.770	-1935.992	90.752	809.416	-1879.705	101.017	1048.487	-1918.265	181.196	1361.007	-1806.823	597.161	855.158	-1655.815	377.614	1190.260	-1921.702	188.623	822.858	-1809.017	532.145	827.884	-1854.514	285.468	1635.052	-1757.767	217.757	472.328	-1629.752	272.061	71.966	-1693.989	235.350	-0.539	-1602.083
