NO_OF_FRAMES	519
NO_OF_CAMERAS	8
NO_OF_MARKERS	3
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2012-03-21, 16:32:58	451699.34750673
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002
Frame	Time	New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	
801	3.33750	483.216	16.816	-1123.442	452.123	102.341	-1201.969	516.248	469.703	-1007.044
802	3.34167	481.571	11.607	-1104.179	451.783	97.877	-1185.438	515.346	471.312	-999.802
803	3.34583	484.775	12.757	-1085.190	451.941	92.267	-1168.654	514.155	471.941	-992.869
804	3.35000	483.033	8.284	-1066.217	453.027	88.166	-1151.151	513.470	471.696	-986.418
805	3.35417	485.551	8.264	-1046.733	452.639	83.553	-1133.788	512.555	472.250	-979.460
806	3.35833	484.796	4.653	-1026.818	453.607	79.240	-1116.809	511.999	471.565	-973.386
807	3.36250	487.270	3.590	-1008.346	453.419	75.264	-1099.380	511.253	470.514	-967.001
808	3.36667	488.001	4.124	-989.192	453.302	71.122	-1082.249	510.450	470.286	-960.697
809	3.37083	487.707	1.558	-969.448	453.672	67.481	-1064.820	509.482	471.093	-954.631
810	3.37500	490.035	0.997	-950.594	453.693	64.274	-1047.240	508.419	471.068	-949.060
811	3.37917	490.102	0.305	-931.339	454.228	59.991	-1029.753	506.938	470.176	-943.348
812	3.38333	490.317	0.059	-911.573	454.801	57.234	-1011.776	506.040	468.723	-937.507
813	3.38750	492.765	-0.332	-892.751	455.760	53.797	-994.163	504.796	467.170	-932.313
814	3.39167	494.502	1.222	-874.196	456.529	51.221	-976.122	503.754	465.944	-927.009
815	3.39583	493.658	0.098	-854.206	456.423	47.882	-958.670	502.651	464.709	-921.991
816	3.40000	495.095	-0.159	-835.019	457.606	46.486	-940.670	501.324	462.946	-916.461
817	3.40417	496.683	2.777	-816.704	458.564	43.575	-923.019	500.097	460.844	-911.353
818	3.40833	497.859	3.582	-797.703	460.059	41.899	-905.484	498.715	459.506	-906.232
819	3.41250	499.573	6.570	-779.594	461.585	40.508	-888.246	497.333	457.604	-901.279
820	3.41667	499.430	7.285	-760.170	463.028	39.292	-871.184	495.985	455.679	-896.176
821	3.42083	500.293	9.702	-742.086	464.746	38.513	-853.691	494.486	453.310	-891.025
822	3.42500	500.677	12.934	-723.887	466.128	39.008	-837.212	492.883	451.685	-886.009
823	3.42917	501.536	15.054	-706.239	467.476	39.846	-820.679	491.517	449.911	-880.733
824	3.43333	502.128	19.600	-689.264	469.293	40.986	-804.555	489.449	446.906	-875.231
825	3.43750	502.884	22.772	-672.409	470.800	40.321	-789.031	488.276	444.857	-870.057
826	3.44167	503.805	26.363	-655.830	471.670	42.557	-773.698	486.871	443.188	-864.849
827	3.44583	505.123	30.672	-640.582	472.383	43.798	-758.403	485.603	441.546	-859.735
828	3.45000	506.565	35.876	-625.983	473.651	44.754	-744.651	484.920	439.086	-853.961
829	3.45417	505.610	38.638	-611.849	474.212	46.123	-730.940	484.069	437.659	-848.516
830	3.45833	504.759	41.661	-597.815	474.696	48.688	-717.793	483.707	436.274	-842.985
831	3.46250	504.989	43.535	-585.239	475.290	48.702	-706.448	483.309	433.943	-836.633
832	3.46667	505.382	46.457	-572.911	475.679	49.838	-694.635	483.086	432.824	-830.796
833	3.47083	504.350	45.287	-561.624	474.986	49.975	-683.644	483.144	432.076	-824.173
834	3.47500	504.507	48.453	-551.450	475.093	51.661	-673.841	483.353	432.027	-817.217
835	3.47917	503.824	47.887	-541.916	475.096	51.089	-665.318	483.341	430.894	-809.866
836	3.48333	502.897	47.829	-533.724	474.742	49.632	-657.142	483.477	430.380	-802.276
837	3.48750	502.326	47.258	-526.095	474.656	48.975	-649.530	483.073	430.691	-794.239
838	3.49167	500.686	44.965	-519.554	474.420	48.816	-643.240	483.175	432.274	-785.748
839	3.49583	500.579	42.879	-513.500	473.973	47.472	-637.316	482.917	432.009	-776.836
840	3.50000	500.116	41.305	-508.508	473.349	45.174	-631.976	483.732	431.835	-768.404
841	3.50417	499.487	37.970	-503.905	472.161	43.508	-627.221	484.066	432.817	-759.411
842	3.50833	499.159	35.293	-500.215	471.639	42.456	-623.084	484.427	432.764	-750.767
843	3.51250	498.473	32.427	-498.235	470.639	41.065	-619.818	484.901	432.379	-741.881
844	3.51667	495.669	26.318	-494.551	469.375	38.890	-616.115	485.311	434.282	-733.126
845	3.52083	495.625	24.611	-492.298	467.817	36.581	-612.897	485.403	435.126	-724.598
846	3.52500	493.262	21.141	-489.436	466.881	35.508	-610.550	486.186	435.571	-716.670
847	3.52917	491.660	17.099	-487.698	465.401	34.038	-608.337	486.237	436.544	-708.523
848	3.53333	491.658	15.092	-486.241	463.925	32.285	-606.026	486.462	436.059	-700.796
849	3.53750	489.210	10.989	-483.917	462.535	30.405	-603.755	486.689	435.245	-692.996
850	3.54167	488.399	8.315	-482.719	461.368	28.437	-601.611	486.819	436.540	-685.526
851	3.54583	487.410	6.906	-481.899	459.689	26.982	-599.845	487.011	438.152	-678.499
852	3.55000	483.753	1.614	-478.816	458.375	26.126	-598.200	486.944	438.231	-671.576
853	3.55417	484.667	-1.132	-477.287	457.292	25.810	-595.994	487.094	437.449	-664.645
854	3.55833	484.806	-2.469	-475.195	457.470	26.279	-592.713	487.206	436.532	-657.753
855	3.56250	481.463	-7.391	-471.280	458.351	27.283	-588.891	487.674	437.192	-650.840
856	3.56667	482.666	-8.929	-469.005	459.374	28.966	-584.901	487.569	436.750	-643.998
857	3.57083	483.709	-9.553	-468.236	460.440	29.186	-581.718	488.213	436.323	-637.185
858	3.57500	484.117	-10.616	-467.315	460.634	28.437	-578.780	488.645	435.511	-629.995
859	3.57917	483.193	-13.301	-465.766	460.359	26.945	-576.757	489.497	436.393	-622.735
860	3.58333	482.751	-17.720	-465.569	460.585	26.301	-576.136	489.599	438.222	-614.983
861	3.58750	484.384	-20.423	-466.026	460.549	26.445	-576.133	490.178	439.913	-607.367
862	3.59167	486.910	-21.062	-466.253	460.658	27.109	-576.591	490.748	441.203	-599.546
863	3.59583	488.479	-21.458	-465.921	460.075	27.415	-576.445	490.939	441.800	-592.438
864	3.60000	488.918	-21.469	-465.634	459.625	27.547	-575.506	491.310	442.008	-585.436
865	3.60417	488.696	-21.443	-465.366	459.328	27.571	-574.048	492.052	441.928	-578.812
866	3.60833	488.663	-21.519	-464.943	459.440	26.956	-572.064	492.512	441.964	-572.687
867	3.61250	488.193	-21.441	-464.630	459.380	26.142	-570.166	493.743	442.015	-567.372
868	3.61667	487.665	-21.381	-464.486	459.588	25.962	-569.161	494.431	441.604	-562.199
869	3.62083	487.301	-21.281	-464.451	459.418	25.699	-568.610	494.602	440.280	-557.004
870	3.62500	487.448	-21.336	-464.342	459.297	25.647	-568.562	495.381	440.085	-552.244
871	3.62917	487.875	-21.372	-464.313	459.129	25.801	-568.613	495.572	439.956	-547.635
872	3.63333	488.208	-21.429	-464.317	459.084	25.799	-568.635	495.838	439.994	-543.195
873	3.63750	488.451	-21.372	-464.336	459.342	26.346	-568.768	496.397	440.524	-539.085
874	3.64167	488.416	-21.427	-464.381	459.244	26.169	-568.360	496.813	440.922	-534.466
875	3.64583	488.235	-21.388	-464.200	458.919	25.823	-567.917	496.582	440.229	-530.097
876	3.65000	487.922	-21.325	-464.258	458.908	25.838	-567.658	496.409	440.002	-526.317
877	3.65417	487.846	-21.340	-464.153	458.832	25.919	-567.511	496.449	439.775	-522.658
878	3.65833	487.718	-21.382	-464.100	458.725	26.057	-567.444	496.494	439.506	-518.669
879	3.66250	487.841	-21.414	-464.038	458.261	26.022	-566.937	496.356	439.249	-515.291
880	3.66667	487.850	-21.367	-464.069	458.153	25.927	-566.920	496.592	438.825	-512.100
881	3.67083	487.806	-21.358	-463.996	458.087	26.154	-566.694	496.890	438.370	-508.924
882	3.67500	487.854	-21.381	-464.065	458.055	26.056	-566.617	497.167	437.544	-506.130
883	3.67917	487.812	-21.317	-464.168	458.305	26.207	-566.499	496.587	436.463	-503.431
884	3.68333	488.011	-21.360	-464.062	458.304	25.979	-566.583	496.861	436.381	-501.118
885	3.68750	487.980	-21.324	-464.197	458.224	26.186	-566.415	496.939	436.414	-498.997
886	3.69167	488.039	-21.360	-464.253	458.165	26.215	-566.384	497.100	436.073	-497.041
887	3.69583	488.066	-21.321	-464.226	457.925	26.273	-566.288	497.132	436.153	-495.078
888	3.70000	488.169	-21.249	-464.188	457.862	26.402	-566.274	497.225	435.962	-492.952
889	3.70417	488.096	-21.346	-464.237	457.727	26.506	-566.264	497.255	435.871	-491.221
890	3.70833	488.113	-21.387	-464.177	457.707	26.716	-566.182	497.435	436.089	-489.331
891	3.71250	488.109	-21.400	-464.099	457.672	26.885	-566.170	497.257	435.454	-487.672
892	3.71667	488.002	-21.364	-464.064	457.338	26.829	-565.953	496.868	434.881	-486.060
893	3.72083	488.054	-21.441	-464.030	456.925	26.916	-565.877	496.318	434.432	-484.594
894	3.72500	488.134	-21.329	-464.051	457.265	27.031	-565.751	496.168	434.125	-483.253
895	3.72917	488.172	-21.426	-463.962	456.888	27.163	-565.684	496.074	433.599	-481.924
896	3.73333	488.186	-21.392	-463.930	456.844	27.364	-565.671	496.280	433.588	-480.705
897	3.73750	488.193	-21.361	-463.990	456.915	27.777	-565.695	496.196	433.454	-479.367
898	3.74167	488.238	-21.412	-463.976	456.770	27.824	-565.640	496.168	433.488	-478.280
899	3.74583	488.310	-21.352	-464.069	456.847	28.008	-565.614	496.187	433.334	-477.069
900	3.75000	488.402	-21.360	-464.025	456.942	28.364	-565.461	496.160	433.296	-475.760
901	3.75417	488.479	-21.418	-463.930	456.971	28.656	-565.509	496.197	433.379	-474.605
902	3.75833	488.520	-21.410	-463.955	456.865	29.149	-565.413	496.234	433.366	-473.635
903	3.76250	488.481	-21.475	-463.814	457.117	29.693	-565.273	496.095	433.322	-472.542
904	3.76667	488.529	-21.429	-463.817	456.983	30.158	-565.181	496.169	433.273	-471.204
905	3.77083	488.647	-21.462	-463.713	456.937	30.623	-565.007	496.243	433.400	-470.061
906	3.77500	488.631	-21.523	-463.593	456.776	31.223	-564.724	496.280	433.432	-468.967
907	3.77917	488.670	-21.435	-463.589	457.124	31.877	-564.941	496.199	433.217	-467.954
908	3.78333	488.725	-21.356	-463.564	457.381	32.364	-564.952	496.262	433.405	-466.961
909	3.78750	488.881	-21.409	-463.479	457.208	32.514	-564.572	496.378	433.369	-465.758
910	3.79167	488.860	-21.455	-463.575	457.215	32.687	-564.534	496.517	433.308	-464.547
911	3.79583	488.893	-21.408	-463.475	457.376	32.963	-564.435	496.601	433.103	-463.360
912	3.80000	489.015	-21.427	-463.503	457.345	33.202	-564.286	496.702	433.063	-462.246
913	3.80417	488.997	-21.425	-463.368	457.359	33.466	-564.216	496.817	433.166	-460.830
914	3.80833	489.029	-21.371	-463.378	457.389	33.679	-563.945	496.910	433.122	-459.452
915	3.81250	488.976	-21.361	-463.179	457.288	33.884	-563.709	496.803	432.957	-457.996
916	3.81667	488.932	-21.417	-463.147	457.134	34.052	-563.530	497.103	433.294	-456.482
917	3.82083	488.814	-21.406	-462.994	456.957	34.315	-563.243	496.568	432.541	-454.983
918	3.82500	488.720	-21.386	-462.995	456.823	34.522	-563.025	496.379	432.246	-453.435
919	3.82917	489.455	-20.467	-463.254	456.692	34.717	-562.632	496.210	432.318	-451.920
920	3.83333	489.330	-20.458	-463.336	456.738	35.241	-562.594	496.235	432.339	-450.334
921	3.83750	489.361	-20.373	-463.379	456.585	35.386	-562.399	496.211	432.315	-448.653
922	3.84167	489.184	-20.422	-463.419	456.611	35.858	-562.171	496.391	432.383	-446.742
923	3.84583	489.073	-20.389	-463.412	456.338	36.507	-561.981	496.172	432.545	-445.378
924	3.85000	488.100	-21.204	-463.279	455.929	37.215	-561.634	495.954	432.923	-443.806
925	3.85417	488.139	-21.115	-463.282	455.590	38.119	-561.364	495.828	433.240	-442.108
926	3.85833	487.943	-21.084	-463.319	455.335	39.134	-561.005	495.650	433.437	-440.315
927	3.86250	487.834	-21.075	-463.273	454.913	40.177	-560.858	495.421	433.703	-438.644
928	3.86667	487.551	-20.971	-463.385	454.885	41.331	-560.959	495.123	434.064	-436.923
929	3.87083	488.008	-20.412	-463.038	454.422	42.042	-560.796	494.868	434.502	-434.939
930	3.87500	487.396	-19.699	-462.985	454.738	43.262	-560.950	494.892	434.777	-433.348
931	3.87917	487.275	-19.645	-462.986	454.734	44.227	-561.030	494.763	434.932	-431.270
932	3.88333	486.841	-19.147	-462.966	454.238	44.474	-560.507	494.863	435.214	-429.283
